name,email,standard,gender,avg_sat_score,avg_pat_score,attendance,category
Todd Miranda,clarklisa@downs.com,10,Male,74.5,45.7,99.3,Medium
Olivia Leblanc,smartinez@gmail.com,11,Female,77.2,21.8,79.7,Low
Margaret Berry,davidbrock@gmail.com,8,Male,73.8,37.3,70.0,Low
Elizabeth Hampton,john03@burns.net,8,Female,81.3,33.2,83.3,Medium
Melissa Martinez,chamberskenneth@miller.com,8,Female,68.2,36.1,72.8,Low
Sabrina Mitchell,christine57@cruz.org,12,Male,66.2,41.2,80.7,Medium
Steven Walls,ikelley@wood-griffin.com,10,Female,59.7,27.3,100.0,Low
Angela Pierce,ladams@mccullough.com,12,Male,80.2,35.7,79.8,Medium
Sean Quinn,melissa92@hotmail.com,10,Female,68.4,20.0,83.4,Low
Amy Peterson,beardashley@beasley.net,10,Male,75.5,31.3,86.1,Medium
Elijah Robinson,imorton@barton-andrade.com,11,Female,77.0,39.0,69.2,Low
Andrea Watkins,kristimcintosh@gmail.com,11,Male,80.6,36.8,74.6,Low
Timothy Burnett,chandlerbrandy@newton.com,8,Male,91.9,40.9,92.5,High
Maria Ward,louis51@carpenter.com,9,Male,71.9,28.1,96.6,Low
Carl Riggs,qgonzalez@hotmail.com,9,Female,78.8,45.4,73.2,Low
Gerald Wilson,hooverjonathan@garcia.net,10,Female,59.0,28.7,90.9,Low
Amanda Fitzgerald,kelsey74@yahoo.com,9,Female,68.9,20.0,90.1,Low
Michael Scott,margaret29@bush.com,8,Female,76.3,41.5,88.2,Medium
Sara Bernard,emitchell@brown.com,8,Male,78.3,35.0,88.7,Medium
Jonathan Dodson,kelsey28@gmail.com,12,Male,52.7,38.0,85.1,Low
Ryan Howard PhD,francislisa@mullins.info,10,Male,83.6,28.8,84.0,Low
Karen Reed,jamesgomez@galvan.com,9,Female,65.6,50.0,72.2,Low
Brian Austin,shannon05@cannon.com,9,Female,71.9,20.0,65.2,Low
Kristopher Davis,sabrina42@gmail.com,11,Male,65.7,38.1,87.7,Medium
Christopher Rose,andrew64@price.org,8,Male,72.7,35.6,82.3,Medium
William Miller,mariemorales@gmail.com,11,Female,79.5,36.5,87.3,Medium
Nicholas Harris,pwiley@hotmail.com,12,Female,88.3,41.3,85.6,Medium
Jeffery Morales,jenkinsjimmy@edwards-butler.biz,11,Male,51.1,39.5,65.3,Low
Thomas Mann,ggreen@yahoo.com,8,Male,69.7,37.7,74.2,Low
Elizabeth Daniels,alowe@buchanan-soto.biz,10,Female,76.7,31.2,80.8,Medium
Angela Foster,fcruz@gmail.com,10,Female,82.3,40.4,96.2,High
Elizabeth Gray,opham@yahoo.com,11,Female,61.1,41.5,87.6,Medium
Rachel Oliver,williamskayla@guzman.info,9,Male,78.7,34.2,76.1,Medium
Stephen Montoya,hernandezjohn@gmail.com,10,Male,89.1,24.7,97.3,Low
Amber Skinner,jenniferromero@allison.com,10,Male,80.3,34.5,96.6,Medium
Melinda Sanchez,ashley11@gmail.com,10,Female,68.6,24.3,72.3,Low
Stacy Webb,qwilliams@spencer.com,10,Male,77.7,35.4,89.9,Medium
Kelli Kemp,ujohnson@yahoo.com,12,Male,71.9,41.8,84.5,Medium
Christina Jenkins,gmorgan@gmail.com,11,Female,62.1,37.6,87.0,Medium
Michael Brown,ncoleman@gmail.com,8,Female,54.2,29.2,100.0,Low
Jason Cox,bairdcarlos@shelton.biz,11,Male,68.4,50.0,85.3,Medium
Jacob Petersen,scott75@yahoo.com,12,Female,58.3,42.8,83.5,Low
Russell Torres,jcole@thompson.org,12,Female,73.4,46.0,100.0,Medium
Elizabeth Cooper,dpoole@williams.info,11,Female,70.9,30.9,83.1,Medium
Tina Johnson,williamsmaria@love.net,10,Male,65.5,37.1,92.8,Medium
Gabriel Foster,perezrodney@smith-lowery.com,12,Male,58.2,32.6,72.5,Low
Kimberly Brown MD,whitneysteven@thompson-mathews.com,10,Male,80.3,35.2,89.7,Medium
Lori Good,ianpope@gmail.com,10,Female,42.6,37.1,71.8,Low
Jason Martinez,tara40@hotmail.com,9,Female,89.0,47.8,83.3,Medium
Melissa Davis,ymcconnell@yahoo.com,8,Female,73.0,33.3,95.3,Medium
Erik Mendoza,stevensonhoward@mahoney.biz,11,Female,40.0,34.4,87.3,Low
Brandi Byrd,kwilliams@gmail.com,10,Female,80.3,41.3,79.5,Medium
Donald Jones,cathyhicks@gmail.com,12,Female,100.0,45.2,100.0,High
Johnny Taylor,ohernandez@yahoo.com,11,Male,61.1,30.8,78.2,Medium
Andrea Boyer,andersonjames@ellis.com,12,Female,74.2,31.8,85.4,Medium
Christopher Williams,johnsimmons@simpson.biz,12,Female,68.9,45.6,90.0,Medium
Rebecca Walsh,danielacevedo@yahoo.com,9,Female,67.4,35.4,76.5,Medium
Micheal Dennis,pricebarbara@hotmail.com,10,Female,69.9,33.1,89.4,Medium
Victoria Webb,melissarobinson@hotmail.com,12,Female,70.2,42.0,70.9,Low
David Parsons,smurillo@gmail.com,9,Female,79.3,38.1,84.1,Medium
Daniel Richardson,leahnewman@jones.com,8,Female,80.3,33.1,96.5,Medium
Rita Curry,ricky93@gomez-smith.org,11,Male,74.3,30.1,79.0,Medium
Marvin Woodward,andersonjamie@hotmail.com,8,Male,75.6,40.1,72.9,Low
Amy Johnson,kaylarobertson@hotmail.com,10,Male,56.4,33.2,77.2,Low
Patrick Gibbs,mvang@hotmail.com,12,Female,68.8,33.5,84.1,Medium
Cody Mckay,conwayandrew@smith-thomas.com,11,Female,86.9,39.3,84.4,Medium
Julia Kelley,ymeyers@gmail.com,9,Female,75.3,26.4,78.2,Low
Charles Jones,michele19@yahoo.com,10,Male,49.9,39.0,78.1,Low
Samantha Washington,moorelisa@davidson.com,9,Female,68.8,35.0,83.5,Medium
Jesse Smith,judith35@ferguson.com,9,Female,82.0,31.0,86.2,Medium
Deanna Wilson,william70@gmail.com,11,Male,72.0,24.7,83.4,Low
Frances Knight,wlee@mitchell.com,8,Male,63.8,31.8,100.0,Medium
Terry Stark,qmartin@camacho.com,9,Male,75.7,38.3,70.3,Low
Travis Velazquez,itorres@yahoo.com,11,Male,94.2,34.3,79.3,Medium
Evan Davis,gilbertmatthew@walker-turner.net,8,Male,78.8,24.5,100.0,Low
Michael Walker,kayla42@yahoo.com,10,Male,79.4,20.0,63.6,Low
Tiffany Wagner,elizabethjones@townsend-buck.com,8,Male,72.2,41.4,81.0,Medium
Amanda Davis,dnelson@king.com,9,Female,76.3,32.7,90.2,Medium
Catherine Mann,briannanguyen@sandoval.biz,10,Female,80.7,31.4,78.6,Medium
Tyler Austin,samantha96@keller.com,10,Male,60.4,32.3,77.7,Medium
Emily Sullivan,justinwest@yahoo.com,11,Male,51.7,29.9,80.5,Low
Bridget Smith,deborah62@yahoo.com,11,Female,42.4,32.8,73.5,Low
Francisco Leonard,keith85@gmail.com,11,Female,68.8,45.3,73.0,Low
Sherri Bennett,andrew01@hotmail.com,11,Female,74.7,31.4,74.2,Low
Ernest Nixon,thomasann@moyer.com,12,Female,64.0,39.2,100.0,Medium
Samuel Blevins,theresagarcia@hotmail.com,10,Male,60.8,29.2,84.1,Low
Dalton Dixon,swansonbelinda@gmail.com,11,Female,54.8,38.6,89.8,Low
Tara Allen MD,kerrcaleb@gmail.com,10,Female,79.4,36.8,87.3,Medium
Traci Hill,vaughnfrederick@clark.com,10,Female,77.6,26.4,70.8,Low
Olivia Taylor,elizabethross@yahoo.com,12,Male,90.5,36.2,83.1,Medium
Charlene Mitchell,xwhite@hotmail.com,12,Male,64.9,42.0,90.1,Medium
Mary Perkins,nancy33@hotmail.com,9,Female,73.0,38.2,100.0,Medium
Kenneth Wright,brenda40@fisher-jones.com,11,Female,80.8,36.7,95.3,Medium
Mary Fuentes,jordansandoval@hotmail.com,8,Female,65.0,36.6,87.3,Medium
Sandra Smith,amy68@yahoo.com,10,Female,91.9,28.3,78.6,Low
Michael Riley,lprince@hinton.com,10,Female,62.9,31.5,82.4,Medium
Cynthia Stephenson,amontgomery@gmail.com,8,Female,48.2,25.6,95.0,Low
Patrick Yates,yukathy@barnes-wilson.com,11,Male,81.5,46.6,79.6,Medium
Amanda Fleming,williamsthomas@turner-jimenez.com,10,Female,55.8,29.4,100.0,Low
Mark Sheppard,ymiller@novak-brandt.com,10,Female,80.4,31.7,88.6,Medium
Steven Jimenez,mitchelltristan@terrell.com,8,Female,68.7,35.2,75.8,Medium
Elizabeth Oliver,kayla76@hotmail.com,9,Male,52.9,41.9,94.5,Low
Ruth Mcdonald,kbrown@lee-wilson.com,12,Female,79.3,31.5,98.6,Medium
Lauren Mckay,nancychambers@hart.com,8,Female,75.4,39.5,82.3,Medium
Samantha Rollins,xwilliams@hotmail.com,10,Female,69.9,30.3,100.0,Medium
Kevin Reynolds,cynthia85@taylor.com,9,Female,54.5,47.8,76.2,Low
Tiffany Nichols,olarson@bean.org,11,Male,74.6,39.5,93.4,Medium
Clinton Macdonald,patrickcollins@yahoo.com,11,Female,72.1,32.4,100.0,Medium
Tyler Hall,greenmiguel@hicks.info,10,Female,84.8,39.1,83.8,Medium
Kathleen Moore,melissa85@gomez.com,9,Male,70.7,36.9,86.6,Medium
Angela Mercer,sherry92@farrell-collins.com,8,Female,68.8,32.1,92.3,Medium
Philip Baker,jennifer44@gmail.com,12,Female,68.3,20.8,94.0,Low
Samantha Wallace,andrewpatterson@gmail.com,10,Female,56.4,31.1,81.2,Low
Amber Cooper,gparsons@yahoo.com,8,Male,52.6,39.7,83.7,Low
Regina Meyer,susanmitchell@hotmail.com,9,Male,69.8,36.4,80.4,Medium
Dakota Hardy,diana82@olson.com,11,Male,56.4,26.1,94.9,Low
Kyle Bowman,mcknightsteven@dominguez-wang.com,10,Female,77.6,46.0,64.3,Low
Mrs. Melissa Morgan,hudsondeanna@mclaughlin-reynolds.org,9,Male,65.9,39.9,94.2,Medium
David Peterson Jr.,lmccoy@burnett-lewis.org,8,Female,58.9,47.4,87.3,Low
Sara Conner,jasonschmidt@yahoo.com,10,Male,55.5,39.8,89.4,Low
Tiffany Turner,rbradley@mitchell-garza.org,11,Female,84.0,38.5,72.0,Low
Christine Garrison,jillfrost@gmail.com,11,Male,77.9,30.6,80.6,Medium
Scott Vaughan,james09@mcclain.com,10,Female,82.7,46.6,79.2,Medium
Benjamin Peterson,kara38@macdonald.com,10,Male,80.2,32.8,95.9,Medium
Brian Walker,catherine85@jones-smith.com,12,Female,71.0,40.7,96.1,Medium
Alison Allen,baileykristen@stewart.com,11,Male,70.7,32.9,99.9,Medium
Natalie Williams,figueroabilly@hotmail.com,9,Male,71.7,33.0,67.0,Low
Sarah Wilson,lewiskatelyn@erickson.biz,10,Female,79.5,30.7,70.7,Low
Richard Manning,arose@gmail.com,9,Female,66.3,41.7,95.2,Medium
Brandon Alvarez,jeffharmon@yahoo.com,8,Female,58.9,29.0,83.5,Low
Victoria Herman,wgonzalez@malone-guerra.com,9,Male,72.1,40.3,100.0,Medium
Courtney White,mhernandez@yahoo.com,10,Female,81.1,38.7,76.1,Medium
Denise Villanueva,noblenicole@yahoo.com,8,Male,76.0,22.0,85.8,Low
Shawn Rodriguez,ghensley@yahoo.com,8,Male,51.1,20.7,95.3,Low
Steven Warren,stevensbrandon@hotmail.com,12,Male,52.0,23.5,80.9,Low
Joe Harrington,joshuawoodard@morales.com,11,Male,72.4,33.1,83.5,Medium
Francisco Carter,bwilliams@rodriguez-peck.com,12,Female,86.1,30.7,99.7,Medium
Angela Bowman,reneebarrera@livingston.info,11,Male,71.1,42.1,87.0,Medium
Crystal Patel,ythornton@hotmail.com,8,Female,71.7,26.7,93.3,Low
Eric Marquez MD,joel04@barker.org,10,Male,44.4,32.7,70.5,Low
Melissa Bruce,shawnjones@hotmail.com,12,Female,55.1,27.8,71.1,Low
Mercedes Johnson,zgarza@perkins.org,12,Male,78.9,42.5,85.1,Medium
Emily Reed,davidmartin@hotmail.com,8,Female,62.4,32.4,79.9,Medium
Joseph Parks,gary11@hotmail.com,12,Female,65.2,42.7,100.0,Medium
Keith Johnson,marysingh@hotmail.com,8,Male,64.6,29.2,97.9,Low
Ann Benson,byrdmatthew@ray-gomez.info,10,Female,40.0,39.8,85.7,Low
Stephen Harper,harrisonanthony@anthony.info,9,Female,73.7,28.4,97.5,Low
Elizabeth Fox,lukerobinson@hotmail.com,12,Female,81.0,32.3,82.7,Medium
Tyler Hoffman,douglas86@yahoo.com,10,Male,61.3,20.0,80.5,Low
Alexander Scott,emendoza@hotmail.com,10,Female,57.7,31.4,88.5,Low
James Woods,qdavis@welch.com,11,Male,63.8,32.9,97.0,Medium
Paul Mullins,gatesjames@yahoo.com,9,Male,85.4,35.9,87.7,Medium
Sheryl Thomas,bakerluke@gmail.com,12,Male,71.2,39.9,95.9,Medium
Patrick Richard,cchambers@lamb-peterson.org,8,Male,81.6,29.7,85.2,Low
Robert Mann,donaldlong@yahoo.com,8,Male,77.3,28.1,79.6,Low
David Patterson,asullivan@gmail.com,9,Male,65.8,36.6,81.2,Medium
Nathan Meadows,albertkelly@white.com,11,Male,61.9,35.9,93.2,Medium
Amanda Wilson,alexandermichele@esparza.com,12,Male,71.5,34.8,76.0,Medium
Wayne Barr,romerochristopher@hotmail.com,12,Male,58.5,33.2,87.3,Low
Joe Diaz,dennisgeorge@yahoo.com,9,Male,82.9,33.2,68.9,Low
Jaime Martin,michael05@hotmail.com,10,Female,72.7,32.3,92.1,Medium
Alicia Mccormick,karen84@yahoo.com,8,Male,51.4,43.7,86.0,Low
Alexander Matthews,gallegospamela@kirby.com,9,Female,100.0,32.9,81.9,Medium
Courtney Burke,colleenblankenship@hotmail.com,11,Male,67.4,30.9,90.3,Medium
Randy Vargas,hferrell@hotmail.com,8,Male,88.6,41.7,94.6,High
Jordan Smith,amy69@jackson.com,8,Female,83.2,43.1,82.7,Medium
Angela Lopez,santosjoseph@yahoo.com,9,Male,75.9,32.2,88.7,Medium
Jenny Perry,nicolerollins@hotmail.com,10,Female,71.9,33.1,83.2,Medium
Dawn Solis,morrowdenise@hotmail.com,9,Male,76.8,38.6,79.9,Medium
Kathleen Kim,plee@hotmail.com,12,Male,54.8,37.1,99.0,Low
David Barker,nathanfleming@hotmail.com,8,Female,60.5,42.3,94.5,Medium
Sarah Mendez,olivermarissa@brady-castillo.com,8,Female,63.3,37.0,76.8,Medium
Patricia Mayer,griffincathy@hotmail.com,12,Female,58.5,40.2,82.7,Low
Jeffery Kelley,zsmith@hotmail.com,10,Male,58.6,33.2,89.4,Low
Michelle Coleman,gonzalesrichard@hotmail.com,9,Male,92.0,28.5,78.7,Low
Karina Floyd,nchavez@hotmail.com,11,Male,64.4,30.9,93.5,Medium
Megan Mason,monique25@hotmail.com,8,Male,63.1,29.6,61.6,Low
Leslie Fitzgerald,smithjulia@smith.com,8,Male,80.5,35.2,85.9,Medium
Kyle Nash,leviwilkerson@hotmail.com,8,Male,46.6,34.0,72.2,Low
Daniel Drake,vreyes@smith-wiley.com,12,Male,68.2,33.9,100.0,Medium
Anthony Mason,stacythornton@cox.com,11,Female,76.2,41.9,83.1,Medium
Bradley Shepherd,stevensonmartha@beck.info,11,Female,76.5,32.2,91.9,Medium
Melissa Garrett,smatthews@anderson.com,9,Female,78.1,36.9,68.8,Low
Russell Lara,plucero@smith.net,8,Male,58.6,28.0,87.5,Low
Randall Wood,figueroajames@gill.net,11,Female,66.0,27.7,77.4,Low
Alicia Turner,pattersonbrian@stewart-cordova.com,8,Male,88.4,36.8,75.4,Medium
Rebecca Beck,cwong@warren.com,11,Male,69.6,32.7,70.8,Low
Mrs. Heather Green,bhernandez@yahoo.com,11,Female,64.7,29.9,88.8,Low
Kimberly Curry,tammybryant@green-sandoval.com,11,Male,78.3,25.2,77.2,Low
Lauren Leblanc,juliawallace@hotmail.com,11,Male,76.4,27.4,81.4,Low
Jordan Williams,david49@hotmail.com,11,Female,97.2,39.3,78.9,Medium
Nicole Clark,wwilliams@gmail.com,8,Female,64.2,43.2,60.0,Low
Michelle Smith,shannonolson@mcdonald.biz,12,Female,52.2,35.9,80.2,Low
Alexa Ramos,onichols@gmail.com,8,Male,61.4,47.9,87.5,Medium
John Johnson,ihunter@hotmail.com,9,Female,73.2,40.8,100.0,Medium
Nicole Wells,yvargas@yahoo.com,9,Female,71.3,30.7,83.5,Medium
Barbara Sellers,jeffreyhowell@oconnell.info,8,Male,58.1,37.7,94.5,Low
Mr. James Dawson,lindafletcher@white-rodriguez.com,12,Female,60.7,35.0,88.6,Medium
Matthew Pittman,sharonthompson@barker-lucero.com,11,Male,77.6,34.7,76.3,Medium
Kirsten Randall,xwilkins@hotmail.com,10,Female,70.2,36.9,66.2,Low
Laura Mcbride,hancockbenjamin@williams.net,12,Male,73.4,33.5,67.7,Low
Brian Schaefer,emmaayers@mitchell.biz,10,Male,64.1,28.8,86.2,Low
Joseph Castaneda,barnesvictoria@gmail.com,12,Male,89.9,31.1,83.7,Medium
Anne Freeman,kimberly72@hotmail.com,11,Female,63.3,33.7,86.5,Medium
Linda Hudson,brandi39@hotmail.com,11,Female,86.4,29.4,77.7,Low
Kayla Macias,davidmoran@gmail.com,12,Male,57.0,35.9,82.1,Low
Elizabeth Freeman,wilsonthomas@watson.net,8,Male,74.4,25.7,100.0,Low
Ryan Wilson,ssalazar@yahoo.com,11,Male,71.5,38.1,98.9,Medium
Karina Lee,burgesstommy@hotmail.com,8,Male,68.2,45.5,79.9,Medium
David Grimes,ffitzpatrick@hotmail.com,11,Male,67.5,42.0,77.0,Medium
Jamie Hernandez,lopezdonna@gmail.com,10,Male,54.3,35.3,86.4,Low
Deborah Saunders,sheila22@stephens.com,9,Female,65.0,38.9,83.4,Medium
Mrs. Natasha Cummings,ychavez@gmail.com,8,Male,67.8,37.9,96.2,Medium
John Collins,popedebra@sanders-davis.com,8,Female,71.7,38.7,70.9,Low
Scott Christensen,brandonhowell@williams.com,10,Male,78.6,40.0,77.2,Medium
Amanda Martinez,matthew37@brown.info,9,Male,77.0,34.3,92.3,Medium
Michael Johnson,austinsimmons@griffith.com,11,Male,68.9,39.4,100.0,Medium
Kimberly Brown,aphillips@gmail.com,9,Female,95.0,26.8,83.7,Low
David Davis,helen72@gmail.com,9,Female,72.2,26.4,93.4,Low
Thomas Hopkins,joneschristopher@gmail.com,12,Male,61.6,25.7,97.7,Low
Denise Coleman,jasonnorton@gmail.com,8,Male,68.7,28.6,86.2,Low
Kelsey Ayala,michaelchavez@baldwin.com,12,Female,70.3,39.7,85.3,Medium
Tami Clarke,daniellewagner@wood-trevino.org,11,Female,80.7,41.0,78.5,Medium
Austin Rojas,virginiastephens@yahoo.com,10,Female,60.2,41.4,80.6,Medium
Jonathan Payne MD,gina32@williams.info,9,Male,77.4,33.0,87.2,Medium
Victor Alvarez,amandaharris@boone.com,11,Male,50.9,33.6,90.3,Low
Robert Smith,emily32@hotmail.com,8,Male,62.5,48.0,100.0,Medium
Wendy Mann,bryan49@heath.com,11,Male,64.5,33.9,68.4,Low
Eric Kramer,bthomas@yahoo.com,10,Female,75.9,36.3,71.2,Low
Thomas Lambert,ramirezjoshua@chang.biz,11,Male,71.5,32.6,80.7,Medium
Victoria White,marie26@parsons.com,8,Male,57.9,30.8,77.1,Low
Ryan Carter,susan04@hotmail.com,10,Male,77.3,38.1,92.9,Medium
Chad Herman,montoyajennifer@gray.com,8,Female,73.7,37.1,62.0,Low
James Buck,llopez@hotmail.com,11,Male,72.7,35.5,93.0,Medium
Karla Gonzalez,cynthiagibson@vazquez-powell.biz,12,Female,73.9,43.8,87.1,Medium
Melissa Mullen,manningbrandy@rios.org,8,Male,91.9,33.8,100.0,Medium
Tracy Gates,andersonjulia@orr.com,10,Female,76.4,28.5,78.8,Low
Kenneth Kim,olsonapril@yahoo.com,9,Male,81.0,40.9,76.2,Medium
Kristen Davis,changmichael@gmail.com,10,Male,72.8,35.1,91.5,Medium
Catherine Adams,hstrickland@gmail.com,9,Male,67.3,41.8,74.9,Low
Keith Wall,xwarner@peterson.com,11,Male,89.4,34.8,98.9,Medium
Dana Smith,nbarker@hotmail.com,12,Female,58.2,47.9,86.1,Low
Jesus Perkins,shane16@taylor.org,9,Female,69.9,34.2,85.9,Medium
Betty Carlson,valerie27@yahoo.com,9,Female,66.6,35.2,78.1,Medium
Christopher White,tammy63@hotmail.com,12,Male,48.5,38.9,87.0,Low
James Montoya,martinclaudia@yahoo.com,9,Male,71.4,47.5,86.8,Medium
Jason Hanson,jonesandrea@hotmail.com,8,Female,69.9,29.3,95.8,Low
Jodi Hancock,alexislynch@pacheco.com,9,Male,93.7,28.6,76.2,Low
Heather Foster,meyermeredith@yahoo.com,9,Male,63.4,30.1,93.9,Medium
Tommy Burns,christinasmith@yahoo.com,9,Male,88.1,23.8,83.2,Low
Amy White,vanessaoconnor@yahoo.com,11,Female,82.4,29.4,77.7,Low
Carlos Hickman,basstravis@wilson.com,8,Female,86.8,38.2,89.2,Medium
Kayla Lewis,ewingbreanna@osborn.net,9,Female,78.7,39.5,64.8,Low
Mark Miles,xjohnson@long-cooper.com,10,Male,79.9,38.5,89.0,Medium
Jerry Buckley,ashleybarnes@yahoo.com,10,Male,71.6,34.8,78.3,Medium
Evan Webb,robertfrost@rodriguez.com,9,Female,60.2,36.9,81.0,Medium
Rachel Hardin,karina15@gmail.com,11,Female,76.1,38.5,83.6,Medium
Jessica Moody,arnoldmichael@robbins.com,8,Male,89.4,34.5,93.0,Medium
Julie Santiago,andersonryan@robinson-kennedy.com,10,Female,75.5,29.5,92.7,Low
Garrett Fuller,jeffery94@yahoo.com,12,Male,46.9,45.2,90.3,Low
Zachary Guzman,benjaminmason@hotmail.com,12,Male,70.4,37.8,68.3,Low
Seth Hamilton,bwashington@gmail.com,8,Female,62.7,44.7,67.8,Low
Leah Daniels,colleen67@rosales.com,8,Male,65.3,31.5,89.2,Medium
Jamie Shaw,youngcatherine@rivera.com,9,Male,72.1,31.3,89.3,Medium
James Hall,barnesjamie@hotmail.com,12,Female,72.4,40.3,93.4,Medium
Debbie Newman,ellismark@calhoun.com,9,Female,85.5,34.3,89.9,Medium
Rodney Williams,matthewramos@hughes-lawrence.org,11,Female,57.6,29.9,85.0,Low
Michael Carter,rcook@yahoo.com,10,Male,54.5,40.4,87.5,Low
Alicia Harris,ana41@perez.com,8,Female,86.8,26.7,81.5,Low
Scott Giles,parkerjacob@hotmail.com,11,Male,64.2,33.3,87.2,Medium
Cynthia Davis,danielle16@lang-williams.com,8,Female,60.4,35.8,80.5,Medium
Nicole Baldwin,dawnmitchell@gmail.com,9,Male,96.6,36.7,90.2,Medium
Katie Ramirez,suttonstephanie@gmail.com,11,Female,82.6,35.2,90.5,Medium
Sarah Davila,brandi75@gmail.com,11,Male,85.8,28.5,88.5,Low
Brittany Dillon,ghayes@watkins-curtis.com,9,Female,70.6,36.1,84.3,Medium
Misty Davidson,zamoranicole@haley.com,9,Male,61.1,39.8,88.9,Medium
Brett Edwards,jason54@curtis.info,8,Female,58.4,50.0,75.6,Low
Terry Cabrera,parkskimberly@brooks-owen.com,10,Male,85.2,42.2,84.9,Medium
Michael Jones,ngray@patterson.com,10,Male,80.5,40.3,85.1,Medium
Jennifer Davis,andrew71@gmail.com,11,Male,70.6,30.0,78.3,Medium
Angela Bennett,xroberts@gardner.com,12,Male,86.4,36.6,84.4,Medium
Melissa Vazquez,sanfordnicholas@gmail.com,8,Male,62.2,32.4,82.5,Medium
Ryan Hart,cooperchristopher@baker.net,8,Female,67.0,30.1,64.8,Low
Matthew Hughes,ujordan@gmail.com,9,Female,79.6,37.1,86.2,Medium
Richard Moore,brownkayla@fowler.com,11,Female,59.1,34.5,84.3,Low
Jasmine Alvarado,marygalvan@hotmail.com,8,Female,50.7,26.0,94.9,Low
Erin Bates,patrickbrown@hotmail.com,12,Male,62.1,22.2,92.9,Low
Carlos Pierce,kellymeyer@kennedy.com,11,Female,90.3,33.6,78.7,Medium
Tony Mccarty,sheltonbilly@george.net,9,Female,65.8,37.6,68.8,Low
James Haynes,krystaltucker@hotmail.com,12,Female,61.8,44.4,71.0,Low
Erik Gordon,patriciawalker@watson-bryant.net,8,Male,92.3,34.6,82.8,Medium
Dave Jones,zachary54@harper.com,8,Male,77.0,46.0,85.4,Medium
Brandon Kelly,melissamartin@stokes.com,12,Male,65.6,31.0,60.0,Low
Tanya Mills,suttongina@hotmail.com,12,Male,60.6,42.0,86.6,Medium
James Williams,sarahjohnson@adams-armstrong.com,10,Male,79.2,33.9,84.4,Medium
Paul Gonzales,john27@yahoo.com,9,Male,80.8,34.8,85.8,Medium
Stacy Duke,deborah48@gmail.com,11,Female,56.0,44.3,81.0,Low
Alexander Vance,vanessapark@vasquez-cortez.biz,12,Female,75.7,43.1,86.2,Medium
Kyle Rivera,harrisdennis@ritter.com,11,Female,61.0,36.3,82.7,Medium
Brian Tanner,juan85@hotmail.com,9,Female,64.9,35.2,77.5,Medium
Daniel Arellano,tmaddox@phillips.net,9,Female,76.2,35.5,77.7,Medium
Joseph Walker,reesebrittany@lewis.com,11,Male,72.2,36.5,78.9,Medium
John Williams,nturner@gmail.com,12,Male,78.1,36.8,90.8,Medium
Robert Williams,jenkinsjeffrey@hays.com,8,Female,81.0,30.3,81.5,Medium
Elizabeth Smith,martha62@hotmail.com,10,Male,44.9,31.8,93.4,Low
John Graham,sheenabrown@livingston.info,10,Female,58.3,38.2,80.0,Low
Eugene Rowe,ritterkelly@gmail.com,11,Male,64.6,33.8,97.8,Medium
Rickey Adams,tinagonzales@gmail.com,10,Female,68.2,38.8,90.4,Medium
Alyssa Houston,michaelwilliamson@yahoo.com,8,Male,85.4,32.5,89.5,Medium
Ana Howell,robertyoung@paul-archer.com,12,Female,78.2,40.6,82.7,Medium
John Harris,jo35@hotmail.com,12,Male,63.6,33.4,66.6,Low
Dean Clarke,obuckley@rice.biz,12,Male,94.9,36.9,92.1,Medium
Edward Mcfarland,qgonzales@gmail.com,12,Female,82.9,38.8,76.6,Medium
Jeremy Wheeler Jr.,randywu@ryan.org,8,Female,57.3,29.2,64.4,Low
Jonathan Wolfe,murraywillie@knight.com,11,Female,85.5,42.2,78.0,Medium
Sherry Merritt,sarahcampbell@yahoo.com,11,Male,60.6,28.3,81.6,Low
Michael Sutton,jeremy85@king.org,11,Male,66.3,29.0,70.5,Low
Kellie Nichols,austin38@gmail.com,11,Female,59.6,46.7,70.5,Low
Karen Harris,sanderskiara@gmail.com,12,Female,53.1,28.3,95.5,Low
Brittany Barton,beardmary@hotmail.com,9,Male,83.7,27.0,83.5,Low
Richard Harris,hyoung@yahoo.com,9,Female,70.3,28.7,85.2,Low
David Wright,jeanreyes@yahoo.com,12,Male,56.8,36.0,85.1,Low
Stacy Robbins,jasonmendoza@marshall-ruiz.biz,11,Female,57.9,36.3,100.0,Low
Timothy Taylor,sallison@jones-foster.info,8,Female,65.2,27.7,84.4,Low
Miguel Foster,hwarren@gmail.com,10,Male,54.1,21.8,98.0,Low
Melissa Martinez,daniel58@yahoo.com,12,Male,49.1,20.0,85.7,Low
Tammy Suarez,vdeleon@mccormick-harris.com,10,Female,70.9,37.3,85.4,Medium
Amanda Johnson,michelle56@yahoo.com,11,Male,84.4,31.5,65.3,Low
Sabrina Sims,kevinmccormick@martinez.com,9,Male,88.1,29.5,100.0,Low
Evelyn Rodgers,bridgeskaitlyn@gmail.com,12,Male,89.2,34.4,83.3,Medium
Jennifer Shannon,maria19@hotmail.com,10,Male,73.7,27.0,71.1,Low
Mr. Carlos Floyd MD,patrickbaker@yahoo.com,11,Male,79.9,47.2,84.5,Medium
Joseph Obrien,michael06@allen.com,8,Female,72.0,27.7,86.8,Low
Christina Hughes,beckyjones@gmail.com,11,Female,77.1,32.8,86.4,Medium
